"DR1ITHEO.Code.or.Value","DR1ITHEO.Value.Description","DR1ITHEO.Count","DR1ITHEO.Cumulative","DR1ITHEO.Skip.to.Item"
"0 to 1324","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
