"LBX128.Code.or.Value","LBX128.Value.Description","LBX128.Count","LBX128.Cumulative","LBX128.Skip.to.Item"
"0.0004 to 0.0631","Range of Values",1877,1877,NA
".","Missing",408,2285,NA
