"DRQSPREP.Code.or.Value","DRQSPREP.Value.Description","DRQSPREP.Count","DRQSPREP.Cumulative","DRQSPREP.Skip.to.Item"
"1","Never",607,607,NA
"2","Rarely",1857,2464,NA
"3","Occasionally",3304,5768,NA
"4","Very Often",3903,9671,NA
"9","Don't know",146,9817,NA
".","Missing",436,10253,NA
