"URDP06LC.Code.or.Value","URDP06LC.Value.Description","URDP06LC.Count","URDP06LC.Cumulative","URDP06LC.Skip.to.Item"
"0","At or above the detection limit",2257,2257,NA
"1","Below lower detection limit",2,2259,NA
".","Missing",90,2349,NA
