"DX2EXSTS.Code.or.Value","DX2EXSTS.Value.Description","DX2EXSTS.Count","DX2EXSTS.Cumulative","DX2EXSTS.Skip.to.Item"
"1","Scan completed",479,479,NA
"2","Scan completed, but invalid",6,485,NA
".","Missing",0,485,NA
