"URDP04LC.Code.or.Value","URDP04LC.Value.Description","URDP04LC.Count","URDP04LC.Cumulative","URDP04LC.Skip.to.Item"
"0","At or above the detection limit",2259,2259,NA
"1","Below lower detection limit",0,2259,NA
".","Missing",90,2349,NA
