"RFXT147.Code.or.Value","RFXT147.Value.Description","RFXT147.Count","RFXT147.Cumulative","RFXT147.Skip.to.Item"
"1282 to 1291","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
