"DRD370HQ.Code.or.Value","DRD370HQ.Value.Description","DRD370HQ.Count","DRD370HQ.Cumulative","DRD370HQ.Skip.to.Item"
"1 to 30","Range of Values",130,130,NA
".","Missing",9208,9338,NA
