"DMDCITZN.Code.or.Value","DMDCITZN.Value.Description","DMDCITZN.Count","DMDCITZN.Cumulative","DMDCITZN.Skip.to.Item"
"1","Citizen by birth or naturalization",8785,8785,NA
"2","Not a citizen of the US",1168,9953,NA
"7","Refused",9,9962,NA
"9","Don't Know",7,9969,NA
".","Missing",2,9971,NA
