"DSD103.Code.or.Value","DSD103.Value.Description","DSD103.Count","DSD103.Cumulative","DSD103.Skip.to.Item"
"1 to 30","Range of Values",8189,8189,NA
"7777","Refused",0,8189,NA
"9999","Don't know",8,8197,NA
".","Missing",219,8416,NA
