"DUQ340.Code.or.Value","DUQ340.Value.Description","DUQ340.Count","DUQ340.Cumulative","DUQ340.Skip.to.Item"
"7 to 50","Range of Values",240,240,NA
"77","Refused",0,240,NA
"99","Don't know",0,240,NA
".","Missing",4385,4625,NA
