"URDUACLC.Code.or.Value","URDUACLC.Value.Description","URDUACLC.Count","URDUACLC.Cumulative","URDUACLC.Skip.to.Item"
"0","At or above the detection limit",59,59,NA
"1","Below lower detection limit",2812,2871,NA
".","Missing",70,2941,NA
