"AUXRR176.Code.or.Value","AUXRR176.Value.Description","AUXRR176.Count","AUXRR176.Cumulative","AUXRR176.Skip.to.Item"
"-13 to 46","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
