"WBXF024.Code.or.Value","WBXF024.Value.Description","WBXF024.Count","WBXF024.Cumulative","WBXF024.Skip.to.Item"
"727.8266 to 727.8266","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
