"CBD131.Code.or.Value","CBD131.Value.Description","CBD131.Count","CBD131.Cumulative","CBD131.Skip.to.Item"
"0 to 1500","Range of Values",9501,9501,NA
"8400","8400 and over",0,9501,NA
"777777","Refused",23,9524,NA
"999999","Don't know",118,9642,NA
".","Missing",329,9971,NA
