"OSQ090d.Code.or.Value","OSQ090d.Value.Description","OSQ090d.Count","OSQ090d.Cumulative","OSQ090d.Skip.to.Item"
"1","Yes",32,32,"OSQ120d"
"2","No",14,46,""
"7","Refused",0,46,"OSQ120d"
"9","Don't know",0,46,"OSQ120d"
".","Missing",5889,5935,""
