"OPDSHOLL.Code.or.Value","OPDSHOLL.Value.Description","OPDSHOLL.Count","OPDSHOLL.Cumulative","OPDSHOLL.Skip.to.Item"
"0","No",2433,2433,NA
"1","Questionable",3,2436,NA
"2","Yes",5,2441,NA
".","Missing",493,2934,NA
