"CIQG12.Code.or.Value","CIQG12.Value.Description","CIQG12.Count","CIQG12.Cumulative","CIQG12.Skip.to.Item"
"1","Yes",8,8,"CIDGSCOR"
"2","No",104,112,""
".","Missing",738,850,""
