"DR2TS080.Code.or.Value","DR2TS080.Value.Description","DR2TS080.Count","DR2TS080.Cumulative","DR2TS080.Skip.to.Item"
"0 to 10.414","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
