"DXXTATA.Code.or.Value","DXXTATA.Value.Description","DXXTATA.Count","DXXTATA.Cumulative","DXXTATA.Skip.to.Item"
"43.94 to 1222.31","Range of Values",4696,4696,NA
".","Missing",996,5692,NA
