"OHD13LAM.Code.or.Value","OHD13LAM.Value.Description","OHD13LAM.Count","OHD13LAM.Cumulative","OHD13LAM.Skip.to.Item"
"0 to 7","Range of Values",2106,2106,NA
"99","Calculation cannot be determined",448,2554,NA
".","Missing",4164,6718,NA
