"WTTFA2YR.Code.or.Value","WTTFA2YR.Value.Description","WTTFA2YR.Count","WTTFA2YR.Cumulative","WTTFA2YR.Skip.to.Item"
"0 to 548458.78807","Range of Values",4328,4328,NA
".","Missing",0,4328,NA
