"CBQ645.Code.or.Value","CBQ645.Value.Description","CBQ645.Count","CBQ645.Cumulative","CBQ645.Skip.to.Item"
"1","Less than 500 calories",201,201,NA
"2","500-1000 calories",433,634,NA
"3","1001-1500 calorties",935,1569,NA
"4","1501-2000 calories",1065,2634,NA
"5","2001-2500 calories",438,3072,NA
"6","2501-3000 calories",126,3198,NA
"7","More than 3000 calories",45,3243,NA
"77","Refused",0,3243,NA
"99","Don't know",186,3429,NA
".","Missing",2593,6022,NA
