"WBXF002.Code.or.Value","WBXF002.Value.Description","WBXF002.Count","WBXF002.Cumulative","WBXF002.Skip.to.Item"
"257.3256 to 257.3256","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
