"URXBCEP.Code.or.Value","URXBCEP.Value.Description","URXBCEP.Count","URXBCEP.Cumulative","URXBCEP.Skip.to.Item"
"0.0707 to 268","Range of Values",2803,2803,NA
".","Missing",183,2986,NA
