"LBCBR7LA.Code.or.Value","LBCBR7LA.Value.Description","LBCBR7LA.Count","LBCBR7LA.Cumulative","LBCBR7LA.Skip.to.Item"
"1.64 to 132.1","Range of Values",251,251,NA
".","Missing",0,251,NA
