"LBXMIR.Code.or.Value","LBXMIR.Value.Description","LBXMIR.Count","LBXMIR.Cumulative","LBXMIR.Skip.to.Item"
"0.019 to 19.43","Range of Values",2257,2257,NA
".","Missing",290,2547,NA
