"BPQ050D.Code.or.Value","BPQ050D.Value.Description","BPQ050D.Count","BPQ050D.Cumulative","BPQ050D.Skip.to.Item"
"1","Yes",606,606,NA
"2","No",389,995,NA
"7","Refused",0,995,NA
"9","Don't know",0,995,NA
".","Missing",5639,6634,NA
