"DSQTFIBE.Code.or.Value","DSQTFIBE.Value.Description","DSQTFIBE.Count","DSQTFIBE.Cumulative","DSQTFIBE.Skip.to.Item"
"0.003 to 18","Range of Values",151,151,NA
".","Missing",10024,10175,NA
