"OCQ180.Code.or.Value","OCQ180.Value.Description","OCQ180.Count","OCQ180.Cumulative","OCQ180.Skip.to.Item"
"1 to 79","Range of Values",3326,3326,NA
"80","80 Hours or more",58,3384,NA
"77777","Refused",1,3385,NA
"99999","Don't know",1,3386,NA
".","Missing",2941,6327,NA
