"RHQ568Q.Code.or.Value","RHQ568Q.Value.Description","RHQ568Q.Count","RHQ568Q.Cumulative","RHQ568Q.Skip.to.Item"
"1 to 18","Range of Values",84,84,NA
"77","Refused",0,84,NA
"99","Don't know",2,86,NA
".","Missing",3511,3597,NA
