"URDDEALC.Code.or.Value","URDDEALC.Value.Description","URDDEALC.Count","URDDEALC.Cumulative","URDDEALC.Skip.to.Item"
"0","At or above detection limit",2757,2757,NA
"1","Below lower detection limit",232,2989,NA
".","Missing",216,3205,NA
