"SSDBZP.Code.or.Value","SSDBZP.Value.Description","SSDBZP.Count","SSDBZP.Cumulative","SSDBZP.Skip.to.Item"
"0.035 to 0.103","Range of Values",2052,2052,NA
".","Missing",2,2054,NA
