"URD25TLC.Code.or.Value","URD25TLC.Value.Description","URD25TLC.Count","URD25TLC.Cumulative","URD25TLC.Skip.to.Item"
"0","At or above the detection limit",12,12,NA
"1","Below lower detection limit",2576,2588,NA
".","Missing",106,2694,NA
