"LBXSCA.Code.or.Value","LBXSCA.Value.Description","LBXSCA.Count","LBXSCA.Cumulative","LBXSCA.Skip.to.Item"
"6.5 to 11.3","Range of Values",5974,5974,NA
".","Missing",575,6549,NA
