"DIQ120.Code.or.Value","DIQ120.Value.Description","DIQ120.Count","DIQ120.Cumulative","DIQ120.Skip.to.Item"
"1","Yes",770,770,""
"2","No",2525,3295,"DIQ140"
"7","Refused",0,3295,"DIQ140"
"9","Don't know",4,3299,"DIQ140"
".","Missing",6346,9645,""
