"BMXLEG.Code.or.Value","BMXLEG.Value.Description","BMXLEG.Count","BMXLEG.Cumulative","BMXLEG.Skip.to.Item"
"21.5 to 53.7","Range of Values",7314,7314,NA
".","Missing",2636,9950,NA
