"RFXC081.Code.or.Value","RFXC081.Value.Description","RFXC081.Count","RFXC081.Cumulative","RFXC081.Skip.to.Item"
"-6.923 to 4.247","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
