"URDGAMLC.Code.or.Value","URDGAMLC.Value.Description","URDGAMLC.Count","URDGAMLC.Cumulative","URDGAMLC.Skip.to.Item"
"0","At or above the detection limit",1937,1937,NA
"1","Below lower detection limit",1232,3169,NA
".","Missing",148,3317,NA
