"RHQ568Q.Code.or.Value","RHQ568Q.Value.Description","RHQ568Q.Count","RHQ568Q.Cumulative","RHQ568Q.Skip.to.Item"
"1 to 30","Range of Values",50,50,NA
"77","Refused",0,50,NA
"99","Don't know",4,54,NA
".","Missing",3691,3745,NA
