"DS2ISUGR.Code.or.Value","DS2ISUGR.Value.Description","DS2ISUGR.Count","DS2ISUGR.Cumulative","DS2ISUGR.Skip.to.Item"
"0.25 to 72","Range of Values",727,727,NA
".","Missing",4972,5699,NA
