"OPXSHEME.Code.or.Value","OPXSHEME.Value.Description","OPXSHEME.Count","OPXSHEME.Cumulative","OPXSHEME.Skip.to.Item"
"0","No",283,283,NA
"1","Yes",1,284,NA
"2","Maybe",3,287,NA
"3","Ungradable",10,297,NA
".","Missing",2637,2934,NA
