"AUXU500R.Code.or.Value","AUXU500R.Value.Description","AUXU500R.Count","AUXU500R.Cumulative","AUXU500R.Skip.to.Item"
"-10 to 95","Range of Values",1682,1682,NA
"666","No response",0,1682,NA
"888","Could not obtain",0,1682,NA
".","Missing",125,1807,NA
