"URXMZP.Code.or.Value","URXMZP.Value.Description","URXMZP.Count","URXMZP.Cumulative","URXMZP.Skip.to.Item"
"0.1527 to 616.608","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
