"DID250.Code.or.Value","DID250.Value.Description","DID250.Count","DID250.Cumulative","DID250.Skip.to.Item"
"1 to 104","Range of Values",418,418,NA
"0","None",4,422,NA
"7777","Refused",0,422,NA
"9999","Don't know",0,422,NA
".","Missing",9400,9822,NA
