"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",6239,6239,NA
"2","Spanish",812,7051,NA
"3","English and Spanish",39,7090,NA
"4","Other",2,7092,NA
"5","Asian Languages",38,7130,NA
"6","Asian Languages and English",5,7135,NA
".","Missing",2409,9544,NA
