"URX6TDA.Code.or.Value","URX6TDA.Value.Description","URX6TDA.Count","URX6TDA.Cumulative","URX6TDA.Skip.to.Item"
"0.453 to 16.6","Range of Values",2430,2430,NA
".","Missing",849,3279,NA
