"OHQ835.Code.or.Value","OHQ835.Value.Description","OHQ835.Count","OHQ835.Cumulative","OHQ835.Skip.to.Item"
"1","Yes",855,855,NA
"2","No",3626,4481,NA
"7","Refused",1,4482,NA
"9","Don't know",83,4565,NA
".","Missing",4799,9364,NA
