"DR1IS040.Code.or.Value","DR1IS040.Value.Description","DR1IS040.Count","DR1IS040.Cumulative","DR1IS040.Skip.to.Item"
"0 to 4.214","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
