"CIQP60.Code.or.Value","CIQP60.Value.Description","CIQP60.Count","CIQP60.Cumulative","CIQP60.Skip.to.Item"
"0 to 365","Range of Values",56,56,NA
"777","Refused",0,56,NA
"999","Don't know",0,56,NA
".","Missing",872,928,NA
