"HUQ084.Code.or.Value","HUQ084.Value.Description","HUQ084.Count","HUQ084.Cumulative","HUQ084.Skip.to.Item"
"0 to 365","Range of Values",74,74,NA
"777","Refused",0,74,NA
"999","Don't know",0,74,NA
".","Missing",10965,11039,NA
