"BIDTBW.Code.or.Value","BIDTBW.Value.Description","BIDTBW.Count","BIDTBW.Cumulative","BIDTBW.Skip.to.Item"
"10.63 to 73.55","Range of Values",4083,4083,NA
".","Missing",1228,5311,NA
