"WBXA084.Code.or.Value","WBXA084.Value.Description","WBXA084.Count","WBXA084.Cumulative","WBXA084.Skip.to.Item"
"-0.6 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
