"DXXRLFAT.Code.or.Value","DXXRLFAT.Value.Description","DXXRLFAT.Count","DXXRLFAT.Cumulative","DXXRLFAT.Skip.to.Item"
"628.8 to 21616.5","Range of Values",4646,4646,NA
".","Missing",1046,5692,NA
