"OSQ040aa.Code.or.Value","OSQ040aa.Value.Description","OSQ040aa.Count","OSQ040aa.Cumulative","OSQ040aa.Skip.to.Item"
"1","Under 50 years old, or",34,34,""
"2","50 years old or older?",44,78,""
"7","Refused",0,78,"OSQ025"
"9","Don't know",1,79,"OSQ025"
".","Missing",4801,4880,""
