"DR1TFDFE.Code.or.Value","DR1TFDFE.Value.Description","DR1TFDFE.Count","DR1TFDFE.Cumulative","DR1TFDFE.Skip.to.Item"
"0 to 5118","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
