"LBXATG.Code.or.Value","LBXATG.Value.Description","LBXATG.Count","LBXATG.Cumulative","LBXATG.Skip.to.Item"
"0.6 to 1635.1","Range of Values",1956,1956,NA
".","Missing",221,2177,NA
