"RFXC111.Code.or.Value","RFXC111.Value.Description","RFXC111.Count","RFXC111.Cumulative","RFXC111.Skip.to.Item"
"-7.017 to 5.535","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
