"SSFHAL.Code.or.Value","SSFHAL.Value.Description","SSFHAL.Count","SSFHAL.Cumulative","SSFHAL.Skip.to.Item"
"0","At or above LLOQ",5911,5911,NA
"1","Below LLOQ",0,5911,NA
".","Missing",0,5911,NA
