"SPXNF257.Code.or.Value","SPXNF257.Value.Description","SPXNF257.Count","SPXNF257.Cumulative","SPXNF257.Skip.to.Item"
"186 to 12776","Range of Values",6319,6319,NA
".","Missing",1424,7743,NA
