"URXTCC.Code.or.Value","URXTCC.Value.Description","URXTCC.Count","URXTCC.Cumulative","URXTCC.Skip.to.Item"
"0.28 to 175.71","Range of Values",3033,3033,NA
".","Missing",119,3152,NA
