"DR2TM181.Code.or.Value","DR2TM181.Value.Description","DR2TM181.Count","DR2TM181.Cumulative","DR2TM181.Skip.to.Item"
"0 to 146.916","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
