"PAXDAYWM.Code.or.Value","PAXDAYWM.Value.Description","PAXDAYWM.Count","PAXDAYWM.Cumulative","PAXDAYWM.Skip.to.Item"
"1","Sunday",12134725,12134725,NA
"2","Monday",11695313,23830038,NA
"3","Tuesday",11071134,34901172,NA
"4","Wednesday",10690811,45591983,NA
"5","Thursday",10543693,56135676,NA
"6","Friday",10706603,66842279,NA
"7","Saturday",11284577,78126856,NA
"< blank >","Missing",0,78126856,NA
