"BPQ040E.Code.or.Value","BPQ040E.Value.Description","BPQ040E.Count","BPQ040E.Cumulative","BPQ040E.Skip.to.Item"
"1","Yes",413,413,NA
"2","No",1382,1795,NA
"7","Refused",0,1795,NA
"9","Don't know",6,1801,NA
".","Missing",4412,6213,NA
